source,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,target
New Zealand,7470.0,8350.0,11170.0,13480.0,10700.0,6090.0,10910.0,12140.0,8360.0,2050.0,-240.0,-50.0,660.0,1050.0,1190.0,-150.0,-1470.0,2110.0,Queensland
New Zealand,120.0,70.0,20.0,60.0,110.0,10.0,180.0,350.0,320.0,70.0,-50.0,-90.0,-70.0,-40.0,-30.0,-80.0,-80.0,-10.0,Northern Territory
New Zealand,4080.0,3700.0,3910.0,4280.0,3400.0,3180.0,5390.0,4960.0,4010.0,1710.0,800.0,1700.0,1420.0,710.0,590.0,-330.0,1930.0,400.0,New South Wales
New Zealand,60.0,70.0,90.0,140.0,130.0,90.0,170.0,280.0,210.0,50.0,40.0,60.0,40.0,100.0,-30.0,10.0,-30.0,-10.0,Australian Capital Territory
Nepal,10.0,20.0,80.0,180.0,410.0,150.0,20.0,100.0,210.0,430.0,300.0,430.0,590.0,510.0,780.0,630.0,-80.0,490.0,Western Australia
Nepal,80.0,110.0,530.0,1410.0,2710.0,530.0,100.0,360.0,520.0,1180.0,1110.0,1140.0,2440.0,3510.0,4280.0,2490.0,-460.0,2810.0,Victoria
Nepal,0.0,0.0,10.0,10.0,50.0,50.0,90.0,90.0,130.0,190.0,240.0,70.0,140.0,130.0,220.0,220.0,-20.0,210.0,Tasmania
Nepal,10.0,20.0,40.0,160.0,410.0,160.0,170.0,160.0,210.0,250.0,250.0,350.0,700.0,740.0,890.0,860.0,-100.0,780.0,South Australia
Nepal,60.0,30.0,210.0,590.0,1100.0,460.0,110.0,250.0,430.0,1450.0,520.0,750.0,1160.0,1550.0,2260.0,1160.0,-140.0,860.0,Queensland
Nepal,0.0,10.0,30.0,20.0,50.0,20.0,20.0,50.0,90.0,80.0,170.0,220.0,200.0,170.0,210.0,170.0,-40.0,150.0,Northern Territory
Nepal,250.0,740.0,3220.0,5520.0,6460.0,1340.0,210.0,1040.0,1530.0,3650.0,3740.0,4970.0,9600.0,14220.0,15260.0,7660.0,-1190.0,14530.0,New South Wales
Nepal,10.0,0.0,30.0,60.0,50.0,30.0,30.0,40.0,60.0,80.0,80.0,40.0,60.0,160.0,170.0,160.0,-60.0,340.0,Australian Capital Territory
